CustomerID,recency,frequency,monetary,r_score,f_score,m_score,rfm_total_score,rfm_segment
CUST0012,126,9,187.09000000000003,10,10,10,30,Champions
CUST0289,134,7,121.17000000000002,10,10,10,30,Champions
CUST0227,134,6,126.89,10,10,10,30,Champions
CUST0264,134,6,126.84,10,10,10,30,Champions
CUST0215,130,6,123.08,10,9,10,29,Champions
CUST0226,135,6,103.71000000000001,10,10,9,29,Champions
CUST0084,143,8,123.51,9,10,10,29,Champions
CUST0017,134,6,90.009999999999991,10,10,8,28,Champions
CUST0039,149,8,167.44000000000003,8,10,10,28,Champions
CUST0104,135,6,164.74,9,9,10,28,Champions
CUST0102,132,5,108.91999999999999,10,9,9,28,Champions
CUST0073,127,5,142.38,10,8,10,28,Champions
CUST0267,149,6,140.89,8,10,10,28,Champions
CUST0262,140,5,121.51000000000002,9,9,10,28,Champions
CUST0157,146,7,132.83,8,10,10,28,Champions
CUST0014,149,6,132.01,8,10,10,28,Champions
CUST0177,126,5,122.91,10,8,10,28,Champions
CUST0029,136,6,130.92,9,9,10,28,Champions
CUST0025,142,6,109.94,9,10,9,28,Champions
CUST0291,139,6,125.53,9,9,10,28,Champions
CUST0040,137,6,101.45999999999998,9,10,9,28,Champions
CUST0011,155,6,128.10999999999999,8,9,10,27,Loyal VIPs
CUST0147,141,5,98.48,9,9,9,27,Loyal VIPs
CUST0063,140,6,96.28,9,9,9,27,Loyal VIPs
CUST0161,145,8,103.61000000000001,8,10,9,27,Loyal VIPs
CUST0153,149,6,92.68,8,10,9,27,Loyal VIPs
CUST0148,130,5,90.62,10,8,9,27,Loyal VIPs
CUST0117,163,7,150.87000000000003,7,10,10,27,Loyal VIPs
CUST0130,134,6,70.779999999999987,10,10,7,27,Loyal VIPs
CUST0178,136,5,114.12,9,9,9,27,Loyal VIPs
CUST0092,126,5,113.27,10,8,9,27,Loyal VIPs
CUST0120,135,5,88.56,9,9,8,26,Loyal VIPs
CUST0261,135,6,60.890000000000008,10,10,6,26,Loyal VIPs
CUST0143,176,6,170.41,6,10,10,26,Loyal VIPs
CUST0108,141,6,72.05,9,10,7,26,Loyal VIPs
CUST0042,133,4,106.78,10,7,9,26,Loyal VIPs
CUST0009,178,6,139.02,6,10,10,26,Loyal VIPs
CUST0154,153,7,88.16,8,10,8,26,Loyal VIPs
CUST0007,153,5,104.63,8,9,9,26,Loyal VIPs
CUST0224,151,6,116.16000000000001,8,9,9,26,Loyal VIPs
CUST0251,180,7,123.67,6,10,10,26,Loyal VIPs
CUST0055,137,5,81.3,9,9,8,26,Loyal VIPs
CUST0293,204,12,190.97,5,10,10,25,Loyal VIPs
CUST0098,188,6,122.55000000000001,6,9,10,25,Loyal VIPs
CUST0271,163,5,117.97999999999999,7,8,10,25,Loyal VIPs
CUST0069,132,5,56.24,10,9,6,25,Loyal VIPs
CUST0236,128,5,70.13,10,8,7,25,Loyal VIPs
CUST0216,170,5,158.79999999999998,7,8,10,25,Loyal VIPs
CUST0288,167,7,88.53,7,10,8,25,Loyal VIPs
CUST0059,211,7,99.239999999999981,5,10,9,24,Loyal VIPs
CUST0296,171,5,97.41,7,8,9,24,Loyal VIPs
CUST0090,134,5,49.97,10,9,5,24,Loyal VIPs
CUST0119,176,5,106.08000000000001,6,9,9,24,Loyal VIPs
CUST0237,189,5,92.72999999999999,6,9,9,24,Loyal VIPs
CUST0089,137,6,60.04,9,9,6,24,Loyal VIPs
CUST0106,140,3,91.44,9,6,9,24,Loyal VIPs
CUST0077,141,4,91.19,9,6,9,24,Loyal VIPs
CUST0145,154,5,85.98,8,8,8,24,Loyal VIPs
CUST0015,137,5,58.19,9,9,6,24,Loyal VIPs
CUST0111,160,5,108.17999999999999,7,8,9,24,Loyal VIPs
CUST0243,135,4,74.13,9,7,8,24,Loyal VIPs
CUST0179,130,5,55.54,10,8,6,24,Loyal VIPs
CUST0159,184,5,85.34,6,9,8,23,Potential Loyalists
CUST0082,174,5,88.89,7,8,8,23,Potential Loyalists
CUST0003,141,4,75.75,9,6,8,23,Potential Loyalists
CUST0001,154,5,64.5,8,8,7,23,Potential Loyalists
CUST0026,163,4,95.76,7,7,9,23,Potential Loyalists
CUST0131,199,5,131.69,5,8,10,23,Potential Loyalists
CUST0285,273,8,143.59,3,10,10,23,Potential Loyalists
CUST0239,146,4,85.9,8,7,8,23,Potential Loyalists
CUST0257,213,5,84.58,5,9,8,22,Potential Loyalists
CUST0270,169,4,83.37,7,7,8,22,Potential Loyalists
CUST0027,159,5,70.66,7,8,7,22,Potential Loyalists
CUST0269,144,4,70.96,8,7,7,22,Potential Loyalists
CUST0198,175,5,61.879999999999995,7,8,7,22,Potential Loyalists
CUST0152,270,6,92.44,3,10,9,22,Potential Loyalists
CUST0202,201,5,85.24,5,9,8,22,Potential Loyalists
CUST0210,136,4,47.96,9,7,5,21,Potential Loyalists
CUST0176,228,4,107.85,4,8,9,21,Potential Loyalists
CUST0282,213,6,70.47999999999999,5,9,7,21,Potential Loyalists
CUST0093,185,4,64.37,6,8,7,21,Potential Loyalists
CUST0245,135,3,70.49,9,5,7,21,Potential Loyalists
CUST0175,218,5,74.77,4,9,8,21,Potential Loyalists
CUST0295,165,5,57.31,7,8,6,21,Potential Loyalists
CUST0005,166,4,63.34,7,7,7,21,Potential Loyalists
CUST0150,150,3,90.490000000000009,8,5,8,21,Potential Loyalists
CUST0114,142,3,57.95,9,6,6,21,Potential Loyalists
CUST0008,183,4,106.62,6,6,9,21,Potential Loyalists
CUST0166,169,3,98.6,7,5,9,21,Potential Loyalists
CUST0242,198,4,97.14,5,7,9,21,Potential Loyalists
CUST0223,180,5,61.239999999999995,6,9,6,21,Potential Loyalists
CUST0004,238,4,123.07000000000001,4,6,10,20,Potential Loyalists
CUST0049,126,4,32.14,10,7,3,20,Potential Loyalists
CUST0051,186,3,86.679999999999993,6,6,8,20,Potential Loyalists
CUST0035,135,3,58.379999999999995,9,5,6,20,Potential Loyalists
CUST0061,142,3,46.61,9,6,5,20,Potential Loyalists
CUST0220,152,3,73.26,8,4,8,20,Potential Loyalists
CUST0081,134,3,52.34,10,5,5,20,Potential Loyalists
CUST0099,131,2,58.25,10,4,6,20,Potential Loyalists
CUST0060,214,4,88.92,5,7,8,20,Potential Loyalists
CUST0158,242,5,77.509999999999991,4,8,8,20,Potential Loyalists
CUST0294,127,3,59.379999999999995,10,4,6,20,Potential Loyalists
CUST0146,238,4,64.99,4,8,7,19,Promising
CUST0172,167,3,61.62,7,5,7,19,Promising
CUST0078,194,3,70.13,6,6,7,19,Promising
CUST0021,175,3,57.05,7,6,6,19,Promising
CUST0076,259,5,75.69,3,8,8,19,Promising
CUST0160,197,4,59.02,5,8,6,19,Promising
CUST0062,130,3,51.039999999999992,10,4,5,19,Promising
CUST0213,129,3,40.739999999999995,10,5,4,19,Promising
CUST0149,233,4,61.65,4,8,7,19,Promising
CUST0208,183,3,61.43,6,6,7,19,Promising
CUST0214,149,4,29.380000000000003,8,7,3,18,Promising
CUST0201,139,3,26.67,9,6,3,18,Promising
CUST0277,130,3,34.480000000000004,10,4,4,18,Promising
CUST0188,228,5,60.470000000000013,4,8,6,18,Promising
CUST0118,157,4,46.04,7,7,4,18,Promising
CUST0170,218,4,62.589999999999996,4,7,7,18,Promising
CUST0229,251,4,70.73,4,7,7,18,Promising
CUST0233,168,3,61.04,7,5,6,18,Promising
CUST0250,149,3,47.449999999999996,8,5,5,18,Promising
CUST0141,222,5,35.08,4,9,4,17,Promising
CUST0037,175,3,40.36,7,6,4,17,Promising
CUST0132,264,4,65.009999999999991,3,7,7,17,Promising
CUST0002,188,4,53.9,6,6,5,17,Promising
CUST0133,225,4,57.97,4,7,6,17,Promising
CUST0067,153,2,50.21,8,4,5,17,Promising
CUST0036,203,3,72.06,5,5,7,17,Promising
CUST0080,250,3,80.93,4,5,8,17,Promising
